,event_type,img_id,loc_left,loc_top,time
9719,mouseover,img_5F,675px,1055.93px,1634202707.07
9720,mouseout,img_5F,671px,1067.93px,1634202707.086
9721,mouseover,img_5F,671px,1067.93px,1634202707.087
9722,mouseover,img_5F,669px,1076.93px,1634202707.09
9723,mouseout,img_5F,669px,1076.93px,1634202707.102
9724,mouseover,img_5F,669px,1076.93px,1634202707.103
9725,mouseout,img_5F,669px,1076.93px,1634202707.089
9726,mouseout,img_5F,665px,1095.93px,1634202707.105
9727,mouseover,img_5F,664px,1106.93px,1634202707.136
9728,mouseover,img_5F,665px,1095.93px,1634202707.105
9729,mouseout,img_5F,661px,1115.93px,1634202707.139
9730,mouseout,img_5F,664px,1106.93px,1634202707.135
9731,mouseover,img_5F,661px,1115.93px,1634202707.139
9732,mouseout,img_5F,661px,1129.93px,1634202707.202
9733,mouseover,img_5F,661px,1129.93px,1634202707.203
9734,mouseover,img_5F,660px,1132.93px,1634202707.205
9735,mouseout,img_5F,660px,1132.93px,1634202707.205
9736,mouseout,img_5F,660px,1140.93px,1634202707.236
9737,mouseover,img_5F,660px,1140.93px,1634202707.236
9738,mouseout,img_5F,659px,1144.93px,1634202707.238
9739,mouseout,img_5F,659px,1144.93px,1634202707.252
9740,mouseover,img_5F,659px,1144.93px,1634202707.238
9741,mouseover,img_5F,659px,1144.93px,1634202707.253
9742,mouseout,img_5F,658px,1144.93px,1634202707.254
9743,mouseover,img_5F,658px,1144.93px,1634202707.255
9744,drag-end-playground,img_5F,658px,1148.93px,1634202707.93
9745,mouseout,img_5F,658px,1148.93px,1634202708.307
9746,mouseover,img_5F,658px,1148.93px,1634202708.308
9747,mouseover,img_5F,658px,1148.93px,1634202708.32
9748,mouseout,img_5F,658px,1148.93px,1634202708.318
9749,mouseover,img_5F,658px,1148.93px,1634202708.337
9750,mouseout,img_5F,658px,1148.93px,1634202708.335
9751,mouseout,img_5F,658px,1148.93px,1634202708.352
9752,mouseover,img_5F,658px,1148.93px,1634202708.353
9753,mouseout,img_5F,658px,1148.93px,1634202708.368
9754,mouseover,img_5F,658px,1148.93px,1634202708.368
9755,mouseout,img_5F,658px,1148.93px,1634202708.385
9756,mouseover,img_5F,658px,1148.93px,1634202708.385
9757,mouseout,img_5F,658px,1148.93px,1634202708.401
9758,mouseover,img_5F,658px,1148.93px,1634202708.402
9759,mouseout,img_5F,658px,1148.93px,1634202708.418
9760,mouseover,img_5F,658px,1148.93px,1634202708.418
9761,mouseout,img_5F,658px,1148.93px,1634202709.663
9762,mouseover,img_5F,658px,1148.93px,1634202709.85
9763,mouseout,img_5F,658px,1148.93px,1634202709.933
9764,mouseover,img_5F,658px,1148.93px,1634202709.935
9765,mouseout,img_5F,658px,1148.93px,1634202709.967
9766,mouseover,img_5F,658px,1148.93px,1634202709.969
9767,mouseout,img_5F,658px,1148.93px,1634202710.383
9768,mouseover,img_5F,658px,1148.93px,1634202710.385
9769,mouseout,img_5F,658px,1148.93px,1634202710.4
9770,mouseover,img_5F,658px,1148.93px,1634202710.402
9771,mouseout,img_5F,658px,1148.93px,1634202710.483
9772,mouseover,img_5F,658px,1148.93px,1634202710.484
9773,mouseout,img_5F,658px,1148.93px,1634202711.148
9774,mouseover,img_5F,658px,1148.93px,1634202711.149
9775,mouseout,img_5F,658px,1148.93px,1634202711.182
9776,mouseover,img_5F,658px,1148.93px,1634202711.184
9777,mouseout,img_5F,658px,1148.93px,1634202711.199
9778,mouseover,img_5F,658px,1148.93px,1634202711.199
9779,mouseout,img_5F,658px,1148.93px,1634202711.215
9780,mouseover,img_5F,658px,1148.93px,1634202711.216
9781,mouseout,img_5F,658px,1148.93px,1634202711.232
9782,mouseover,img_5F,658px,1148.93px,1634202711.233
9783,mouseout,img_5F,658px,1148.93px,1634202711.248
9784,mouseover,img_4,1441px,675.6px,1634202748.702
9785,mouseout,img_4,1441px,675.6px,1634202748.706
9786,mouseover,img_4,1441px,675.6px,1634202748.714
9787,mouseout,img_4,1441px,675.6px,1634202748.79
9788,mouseout,img_4,1441px,675.6px,1634202757.899
9789,mouseover,img_4,1441px,675.6px,1634202757.897
9790,mouseout,img_4,1441px,675.6px,1634202764.689
9791,mouseover,img_4,1441px,675.6px,1634202764.686
9792,mouseover,img_4,1441px,675.6px,1634202764.699
9793,mouseout,img_4,1441px,675.6px,1634202764.726
9794,mouseover,img_4,1441px,675.6px,1634202798.471
9795,mouseout,img_4,1441px,675.6px,1634202798.537
9796,mouseover,img_4,1441px,675.6px,1634202799.504
9797,mouseout,img_4,1441px,675.6px,1634202799.699
9798,mouseover,img_3F,792px,919.267px,1634202799.766
9799,mouseout,img_3F,792px,919.267px,1634202800.182
9800,mouseover,img_6,301px,906.267px,1634202800.232
9801,mouseout,img_6,301px,906.267px,1634202800.499
9802,mouseover,img_6,301px,906.267px,1634202800.5
9803,mouseout,img_6,301px,906.267px,1634202800.515
9804,mouseover,img_6,301px,906.267px,1634202800.515
